sub#,E1.感興趣的,E2.憂傷的,E3.興奮的,E4.苦惱的,E5.強大的,E6.有罪惡感的,E7.驚嚇的,E8.有敵意的,E9.熱情的,E10.自豪的,E11.易怒的,E12.警覺、靈活的,E13.羞愧的,E14.激勵的,E15.焦慮的,E16.有決心的,E17.專注、小心翼翼的,E18.緊張不安的,E19.積極的,E20.害怕的
sub-77,3,4,3,4,3,1,2,4,3,3,3,3,3,3,4,3,4,4,3,4
sub-78,4,5,4,5,2,5,3,5,5,3,3,4,2,4,5,5,5,5,4,4
sub-79,3,3,4,2,2,2,1,1,2,1,1,2,4,3,4,3,2,1,2,2
sub-80,4,4,4,5,2,4,4,1,4,1,4,3,1,3,5,2,4,5,4,4
sub-81,4,4,4,5,2,1,1,4,4,3,4,1,1,3,4,4,2,4,4,4
sub-82,3,1,3,1,4,1,1,1,3,3,1,2,1,3,1,3,4,2,3,1
sub-83,4,3,4,5,2,3,2,3,3,3,4,2,2,4,5,3,3,4,4,4
sub-84,5,2,4,5,3,1,1,1,3,2,3,2,1,2,5,2,1,4,3,4
sub-85,4,4,5,5,2,5,2,2,3,5,4,4,4,4,4,2,3,4,2,4
sub-86,5,2,2,4,2,1,1,1,4,3,4,2,1,4,5,4,5,5,5,4
sub-87,4,3,3,3,2,2,2,2,3,3,2,4,2,3,3,4,4,3,4,3
sub-88,5,4,5,3,3,2,1,1,4,3,3,1,4,4,3,4,2,2,4,2
sub-89,4,1,4,3,2,2,1,1,3,2,1,2,1,2,2,3,2,2,3,1
sub-90,3,1,3,1,2,1,1,1,1,2,1,4,1,3,3,2,1,1,3,1
sub-91,4,4,4,2,1,4,1,4,1,2,2,3,4,2,3,2,3,2,2,2
